timestamp,Q_h(kWh),T_op(°C),T_ext(°C),ΦH_em_eff(kW),θH_em_flow(°C),θH_em_ret(°C),V_H_em_eff(m3/h),θH_em_flw_min_req(°C),θH_nod_out(°C),θH_cr_flw(°C),θH_cr_ret(°C),V_H_cr(m3/h),θH_dis_flw(°C),θH_dis_ret(°C),βH_em(-),Q_w_dis_i_ls(kWh),Q_w_dis_i_aux(kWh),Q_w_dis_i_ls_rbl_H(kWh),QH_dis_i_req(kWh),QH_dis_i_in(kWh),V_H_dis(m3/h),max_output_g1(kWh),QH_gen_out(kWh),θX_gen_cr_flw(°C),θX_gen_cr_ret(°C),V_H_gen(m3/h),efficiency_gen(%),EHW_gen_in(kWh),EHW_gen_aux(kWh),QW_gen_i_ls_rbl_H(kWh),QW_gen_out(kWh),QHW_gen_out(kWh),EH_gen_in(kWh),EWH_gen_in(kWh)
2009-12-06 06:00:00,9.632271237864714,20.0,0.74,10.70252359762746,95.92391188862135,69.16760289455269,0.3448275862068966,97.92391188862135,37.97769230769231,37.97769230769231,69.16760289455269,0.0,95.92391188862135,69.16760289455269,1.3378154497034325,3.002196354796177,0.024,2.7019767193165594,10.70252359762746,10.978743233107078,0.3537271835118255,27.0,10.978743233107078,95.92391188862135,87.79150949372722,1.1637931034482758,95.0,11.556571824323239,0.0,0.23113143648646428,0.0,10.978743233107078,11.556571824323239,0.0
2009-12-06 07:00:00,11.07082406988249,20.0,0.63,12.300915633202766,104.99050124504083,74.2382121620339,0.3448275862068966,106.99050124504083,38.04961538461538,38.04961538461538,74.2382121620339,0.0,104.99050124504083,74.2382121620339,1.5376144541503458,3.3414891217697935,0.024,3.007340209592814,12.300915633202766,12.611064545379747,0.35352189026845815,27.0,12.611064545379747,104.99050124504083,95.64897195216695,1.163793103448276,95.0,13.27480478461026,0.0,0.2654960956922054,0.0,12.611064545379747,13.27480478461026,0.0
2009-12-06 08:00:00,11.187097614149645,20.0,-0.43,12.430108460166272,105.7137280257939,74.63845687537821,0.3448275862068966,107.7137280257939,38.74269230769231,38.74269230769231,74.63845687537821,0.0,105.7137280257939,74.63845687537821,1.553763557520784,3.3684524376281306,0.024,3.0316071938653177,12.430108460166272,12.742953703929086,0.35350632546397903,27.0,12.742953703929086,105.7137280257939,96.2745030599205,1.163793103448276,95.0,13.41363547782009,0.0,0.26827270955640187,0.0,12.742953703929086,13.41363547782009,0.0
2009-12-06 09:00:00,11.14253013296568,19.999999999999996,0.16,12.380589036628534,105.43667624167018,74.48520365009885,0.3448275862068966,107.43667624167018,38.356923076923074,38.356923076923074,74.48520365009885,0.0,105.43667624167018,74.48520365009885,1.5475736295785667,3.358125117402457,0.024,3.0223126056622114,12.380589036628534,12.69240154836878,0.3535122744276583,27.0,12.69240154836878,105.43667624167018,96.03489731695257,1.163793103448276,95.0,13.360422682493452,0.0,0.2672084536498687,0.0,12.69240154836878,13.360422682493454,0.0
2009-12-06 10:00:00,10.668252700411031,20.0,2.69,11.853614111567813,102.47584465516952,72.84180937625,0.3448275862068966,104.47584465516952,36.70269230769231,36.70269230769231,72.84180937625,0.0,102.47584465516952,72.84180937625,1.4817017639459766,3.2476236967540686,0.024,2.9228613270786616,11.853614111567813,12.15437648124322,0.3535769145535843,27.0,12.15437648124322,102.47584465516952,93.47260281721158,1.1637931034482756,95.0,12.794080506571811,0.0,0.25588161013143634,0.0,12.15437648124322,12.794080506571813,0.0
2009-12-06 11:00:00,10.283831112488514,20.0,5.35,11.426479013876126,100.0586033618329,71.49240582714259,0.3448275862068966,102.0586033618329,34.96346153846154,34.96346153846154,71.49240582714259,0.0,100.0586033618329,71.49240582714259,1.4283098767345157,3.1572242205354115,0.024,2.84150179848187,11.426479013876126,11.718201435929668,0.3536311676528516,27.0,11.718201435929668,100.0586033618329,91.37845415003314,1.163793103448276,95.0,12.334948879925966,0.0,0.24669897759851908,0.0,11.718201435929668,12.334948879925966,0.0
2009-12-06 12:00:00,10.006425619475879,20.000000000000004,6.52,11.118250688306532,98.30418464755935,70.50855792679302,0.3448275862068966,100.30418464755935,34.19846153846154,34.19846153846154,70.50855792679302,0.0,98.30418464755935,70.50855792679302,1.3897813360383164,3.091505821784457,0.024,2.7823552396060114,11.118250688306532,11.403401270484977,0.35367140433212546,27.0,11.403401270484977,98.30418464755935,89.85722074349641,1.163793103448276,95.0,12.00358028472103,0.0,0.2400716056944212,0.0,11.403401270484977,12.003580284721028,0.0
2009-12-06 13:00:00,9.803444277610728,20.0,6.9,10.89271586401192,97.01490199318006,69.78311233315027,0.3448275862068966,99.01490199318006,33.95,33.95,69.78311233315027,0.0,97.01490199318006,69.78311233315027,1.36158948300149,3.0431523438319283,0.024,2.7388371094487356,10.89271586401192,11.173031098395114,0.3537014452936586,27.0,11.173031098395114,97.01490199318006,88.73858266103554,1.163793103448276,95.0,11.761085366731699,0.0,0.23522170733463385,0.0,11.173031098395114,11.761085366731699,0.0
2009-12-06 14:00:00,9.684570563359445,19.999999999999996,6.75,10.760633959288272,96.25761584692292,69.35603094870224,0.3448275862068966,98.25761584692292,34.04807692307692,34.04807692307692,69.35603094870224,0.0,96.25761584692292,69.35603094870224,1.345079244911034,3.0147275230950035,0.024,2.713254770785503,10.760633959288272,11.038106711597774,0.35371927974271117,27.0,11.038106711597774,96.25761584692292,88.08124050499863,1.1637931034482758,95.0,11.619059696418708,0.0,0.23238119392837364,0.0,11.038106711597774,11.61905969641871,0.0
2009-12-06 15:00:00,9.686914076809382,20.0,6.03,10.763237863121535,96.27256137066071,69.36446671285687,0.3448275862068966,98.27256137066071,34.518846153846155,34.518846153846155,69.36446671285687,0.0,96.27256137066071,69.36446671285687,1.345404732890192,3.015288674004422,0.024,2.71375980660398,10.763237863121535,11.040766730521979,0.3537189264026128,27.0,11.040766730521979,96.27256137066071,88.09421564434814,1.1637931034482758,95.0,11.621859716338923,0.0,0.23243719432677779,0.0,11.040766730521979,11.621859716338923,0.0
